ID;BJD;RV;e_RV
K2-3       ;2457051.74172; 30477.50; 3.40
K2-3       ;2457051.86273; 30484.10; 3.70
K2-3       ;2457052.74007; 30483.50; 2.70
K2-3       ;2457052.87016; 30486.50; 2.80
K2-3       ;2457053.72031; 30489.80; 3.70
K2-3       ;2457053.84175; 30485.00; 2.90
K2-3       ;2457054.72718; 30480.60; 3.60
K2-3       ;2457054.85409; 30479.30; 2.90
K2-3       ;2457055.70984; 30476.20; 3.20
K2-3       ;2457055.84643; 30475.50; 2.60
K2-3       ;2457056.72436; 30476.30; 3.20
K2-3       ;2457056.84220; 30472.90; 2.60
K2-3       ;2457057.71378; 30478.90; 2.90
K2-3       ;2457057.84929; 30472.00; 3.60
K2-3       ;2457062.71316; 30481.10; 2.30
K2-3       ;2457062.73397; 30479.60; 2.20
K2-3       ;2457063.75309; 30474.90; 2.80
K2-3       ;2457064.74827; 30473.90; 2.80
K2-3       ;2457064.79624; 30475.00; 2.70
K2-3       ;2457065.76266; 30471.30; 2.80
K2-3       ;2457065.80782; 30472.10; 3.00
K2-3       ;2457066.75193; 30469.00; 3.60
K2-3       ;2457066.85352; 30468.30; 3.00
K2-3       ;2457075.70036; 30479.60; 3.30
K2-3       ;2457075.86458; 30479.30; 2.90
K2-3       ;2457076.69466; 30474.00; 3.00
K2-3       ;2457076.84185; 30481.70; 2.20
K2-3       ;2457077.68732; 30473.50; 3.10
K2-3       ;2457077.85266; 30477.10; 3.40
K2-3       ;2457078.70254; 30482.90; 2.80
K2-3       ;2457078.86548; 30479.80; 2.50
K2-3       ;2457079.66139; 30480.20; 3.80
K2-3       ;2457079.83999; 30488.40; 3.00
K2-3       ;2457080.86737; 30481.80; 3.90
K2-3       ;2457082.77367; 30480.00; 3.00
K2-3       ;2457085.77330; 30472.60; 2.50
K2-3       ;2457085.81030; 30479.70; 2.40
K2-3       ;2457100.61417; 30487.40; 3.30
K2-3       ;2457100.82242; 30480.90; 3.00
K2-3       ;2457101.66004; 30489.00; 3.40
K2-3       ;2457104.60755; 30479.50; 3.50
K2-3       ;2457085.77330; 30472.60; 2.50
K2-3       ;2457085.81030; 30479.70; 2.40
K2-3       ;2457100.61417; 30487.40; 3.30
K2-3       ;2457100.82242; 30480.90; 3.00
K2-3       ;2457101.66004; 30489.00; 3.40
K2-3       ;2457104.60755; 30479.50; 3.50
K2-3       ;2457117.54384; 30480.90; 3.20
K2-3       ;2457135.51734; 30478.20; 2.40
K2-3       ;2457135.67396; 30484.80; 2.10
K2-3       ;2457136.48690; 30482.80; 2.40
K2-3       ;2457137.51812; 30484.90; 3.20
K2-3       ;2457137.67935; 30481.90; 2.70
K2-3       ;2457138.52332; 30482.20; 2.90
K2-3       ;2457138.67671; 30485.80; 3.00
K2-3       ;2457139.51834; 30476.50; 2.90
K2-3       ;2457139.67947; 30478.40; 2.80
K2-3       ;2457146.54991; 30474.90; 2.00
K2-3       ;2457146.66822; 30474.50; 3.40
K2-3       ;2457148.54155; 30469.10; 3.00
K2-3       ;2457148.66250; 30471.70; 3.30
K2-32      ;2457179.91860;     2.24; 1.81
K2-32      ;2457197.79446;    -3.58; 1.66
K2-32      ;2457199.86203;    -4.57; 1.79
K2-32      ;2457206.92342;    -4.96; 2.01
K2-32      ;2457208.89518;    -2.80; 1.68
K2-32      ;2457211.84494;    -2.49; 1.71
K2-32      ;2457213.94398;     1.86; 1.84
K2-32      ;2457228.86852;    -3.80; 1.71
K2-32      ;2457245.82275;    -4.84; 1.64
K2-32      ;2457255.79446;    -6.88; 1.79
K2-32      ;2457265.78026;    -5.92; 1.78
K2-32      ;2457290.77412;    -4.75; 2.07
K2-32      ;2457298.73809;   -15.48; 1.72
K2-32      ;2457520.95713;     2.08; 1.63
K2-32      ;2457555.93294;     5.91; 2.00
K2-32      ;2457562.00286;     0.81; 1.90
K2-32      ;2457562.88992;     1.92; 1.85
K2-32      ;2457577.78320;    -6.38; 1.72
K2-32      ;2457579.85868;     3.02; 1.84
