BJD,RV,ERV
2451949.03711,2.08,4.47
2451990.87891,-11.9,3.45
2451991.87695,-4.95,3.7
2452011.8916,4.71,4.41
2452012.85254,7.94,3.72
2452013.85938,-2.28,3.16
2452014.81152,1.06,3.19
2452015.85156,-2.73,3.68
2452032.76758,15.66,2.99
2452042.75879,8.69,2.58
2452042.76856,9.98,2.55
2452043.77441,7.77,2.64
2452044.77148,13.36,3.65
2452046.8125,13.14,3.35
2452047.78906,10.12,3.0
2452048.78809,16.1,3.15
2452307.91406,1.56,3.5
2452388.79688,-9.55,2.22
2452388.82422,-6.81,2.25
2452427.75195,20.94,3.85
2452427.75781,12.09,3.33
2452428.7207,-8.86,2.21
2452705.95117,-6.75,2.32
2452705.97363,-0.13,2.54
2452722.94043,-5.16,2.72
2452722.95898,-3.12,3.11
2452737.83496,-0.15,2.34
2452737.85742,-0.46,2.11
2453069.87012,-14.73,2.2
2453080.87109,-13.69,2.22
2453080.89356,-12.11,2.38
2453119.875,-1.45,3.97
2453119.89453,-6.39,3.58
2453131.76367,13.12,3.33
2453131.77832,-1.39,2.85
2453156.74512,5.81,2.48
2453361.08763,3.09,2.29
2453363.0676,-1.04,2.36
2453363.07679,-11.68,2.21
2453390.07583,0.92,2.25
2453390.07917,3.16,2.18
2453390.99488,4.04,2.16
2453390.99884,0.91,2.16
2453392.03863,4.47,2.25
2453392.04235,4.34,2.11
2453403.01639,-12.8,2.09
2453403.03127,-11.52,2.09
2453405.04743,-16.39,2.07
2453405.06822,-9.6,2.12
2453407.03905,-7.16,3.1
2453437.96435,-3.68,2.25
2453437.98571,-5.88,2.37
2453438.0055,3.56,2.78
2453439.94369,-11.57,2.51
2453439.96352,-13.31,2.55
2453440.8464,-7.91,2.65
2453440.86437,-10.31,2.59
2453441.93771,-2.25,2.38
2453441.9604,-2.07,2.35
2453475.78241,-3.88,2.32
2453475.80336,-2.83,2.24
2453476.76129,-6.2,2.38
2453476.7769,-7.72,2.21
2453477.77927,-6.06,2.34
2453477.79488,-11.58,2.31
2453478.80646,-8.49,2.49
2453478.82468,-1.4,2.28
2453479.81976,-2.89,2.33
2453479.8354,-3.33,2.42
2453512.75643,16.71,2.46
2453512.77203,12.0,2.21
2453523.75019,-0.3,2.35
2453523.76786,-1.87,2.32
2453566.71034,-11.58,2.87
2453745.06782,-10.63,1.97
2453745.07442,-7.76,1.91
2453773.9815,-14.28,2.42
2453773.98715,-7.75,2.38
2453868.7603,-7.46,2.36
2454134.02268,-9.31,1.98
2454134.02671,-14.08,1.95
2454165.96015,-5.9,2.29
2454165.9634,-5.18,2.32
2454196.84686,0.32,2.37
2454196.85101,3.04,2.4
2454219.83504,3.38,2.33
2454219.83931,-5.44,2.19
2454255.79895,7.72,2.61
2454255.8035,10.16,2.76
2454462.0558,2.51,2.13
2454462.06616,-1.72,1.85
2454548.86995,-18.63,2.37
2454548.87437,-11.02,2.54
2454845.05325,16.52,2.91
2454845.05645,20.93,2.96
2454845.05975,12.49,3.1
2455229.04255,2.5,3.61
2455229.04633,6.36,3.35
2455312.79053,5.66,1.98
2455312.79309,4.1,1.94
