BJD,RV,ERV
2453748.92321,37.87,0.85
2453748.92431,39.97,0.87
2453749.85839,34.56,0.84
2453749.85928,36.56,0.9
2453749.86026,33.35,0.86
2453750.86491,17.28,1.02
2453750.86577,17.45,0.96
2453750.86663,14.93,1.0
2453751.93063,-26.05,0.82
2453752.97248,-45.88,0.87
2453752.97351,-42.81,0.83
2453752.97454,-43.9,0.84
2453753.94307,-80.41,0.94
2453753.944,-78.83,0.94
2453753.94496,-79.63,0.8
2453775.92237,16.58,0.87
2453775.92326,17.95,0.82
2453775.92416,18.79,0.9
2453776.93972,25.4,0.85
2453776.94062,23.64,0.88
2453776.94152,20.14,0.93
2453778.01854,42.7,0.99
2453778.0202,39.67,0.85
2453778.02145,36.86,0.92
2453806.88736,42.54,1.07
2453806.88919,41.17,1.03
2453806.89067,42.09,0.99
2453837.79716,45.05,1.12
2453837.80378,44.28,1.17
2453837.81059,43.86,0.98
2453837.81656,44.87,0.81
2453841.80082,-71.74,0.81
2453841.80159,-72.8,0.79
2453841.80238,-71.3,0.81
2454083.97978,33.22,0.99
2454083.98069,34.98,0.96
2454083.98156,34.92,0.99
2454083.98246,37.98,0.92
2454083.98338,36.12,0.92
2454084.9051,51.92,0.96
2454084.90681,49.44,1.03
2454084.9083,49.99,1.01
2454084.90978,48.73,1.01
2454084.91104,51.37,1.01
2454085.12027,60.71,0.96
2454085.12137,59.99,0.99
2454085.12245,61.14,0.83
2454085.12343,59.8,0.94
2454085.1244,59.33,1.01
2454086.1002,49.12,0.96
2454086.10113,51.38,0.96
2454086.10206,48.37,0.93
2454086.10296,50.01,0.95
2454086.10387,47.21,0.87
2454108.90686,-53.83,0.91
2454108.90768,-53.63,0.88
2454108.90857,-54.67,0.88
2454108.90942,-52.71,0.91
2454108.91023,-55.72,0.89
2454129.89884,58.16,0.98
2454129.89979,56.66,0.98
2454129.90071,57.72,0.9
2454129.9016,55.48,0.93
2454129.90249,57.25,0.93
2454130.94483,48.41,1.13
2454130.94564,46.72,0.99
2454130.94657,47.97,0.92
2454130.9475,45.51,1.0
2454130.94944,45.29,1.01
2454130.95032,48.84,0.92
2454131.87861,14.57,1.04
2454131.87972,14.71,1.16
2454131.88093,15.58,1.1
2454131.88229,12.62,1.11
2454131.88358,12.23,1.08
2454138.8384,-39.05,0.92
2454138.8392,-38.56,0.88
2454138.84012,-40.74,0.89
2454138.84091,-38.18,0.99
2454138.84173,-39.98,0.92
2454139.04742,-35.27,0.88
2454139.04822,-33.59,0.91
2454139.049,-35.84,0.86
2454139.04979,-35.52,0.85
2454139.05056,-34.09,0.77
2454216.77424,54.18,0.82
2454216.77524,56.12,0.94
2454246.78221,55.78,0.87
2454246.78322,54.21,0.83
2454246.78423,51.78,0.83
2454247.81539,49.93,0.92
2454247.81624,49.46,0.87
2454247.81706,49.48,0.9
2454248.79091,28.97,0.86
2454248.79188,30.07,0.85
2454248.79281,28.69,0.82
2454249.78322,-6.35,0.96
2454249.78409,-11.42,0.97
2454250.78649,-29.17,1.01
2454250.78743,-33.26,0.88
2454250.78836,-31.67,0.92
2454251.79012,-62.83,0.99
2454251.79103,-60.64,0.92
2454251.79192,-61.31,0.98
2454255.73602,-72.31,0.8
2454255.73677,-70.12,0.88
2454255.73752,-72.12,0.88
2454398.13822,-28.73,0.94
2454428.04496,-53.47,0.95
2454428.04598,-56.25,0.89
2454428.04698,-53.65,0.91
2454429.00363,-64.36,0.96
2454429.00458,-64.41,0.94
2454429.00556,-61.39,0.92
