HIP,RAhms,DEdms,Vmag,Plx,e_Plx,Type,Period,u_Period,distance
2929,00 37 08.78,-41 46 06.5,8.19,1.29,1.03,VAR,0.09123,,775.19385
2933,00 37 13.34,-63 49 12.8,9.9,3.97,1.16,EA,0.865837,,251.88916
2935,00 37 16.34,+58 00 58.4,7.39,0.36,1.38,VAR:,nan,,2777.7776
2960,00 37 36.95,-55 39 36.6,8.64,1.8,0.96,SRB,nan,,555.55554
2962,00 37 37.73,+45 36 15.3,7.9,2.83,1.11,LB,nan,,353.3569
2964,00 37 39.17,-25 33 37.8,8.55,6.54,1.2,VAR,0.62947,,152.9052
3025,00 38 31.83,-20 17 47.8,6.73,5.25,1.15,ACV,1.4788,,190.4762
3030,00 38 33.45,+60 19 29.2,6.77,-0.03,0.75,VAR:,nan,,-33333.336
3064,00 38 53.08,-25 35 44.6,7.77,9.25,1.02,DSCT,nan,,108.10811
3095,00 39 25.32,+63 02 38.4,8.56,1.37,1.0,,nan,,729.927
3129,00 39 46.00,+14 12 01.3,9.19,3.33,1.42,LB,99.072686,,300.3003
