,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
4024,HD 88133,HD 88133,HIP 49813,TIC 27073220,b,W. M. Keck Observatory,1,1,Radial Velocity,2004,3.414884,0.0479,13.8,324.1866,0.678,0.031,,,15.0,,32.93,G5,5392.0,2.2,1.26,0.34,0.497,3.88,5.37,0.15836,,73.6123,152.5319349,18.1857284
4025,K2-90,,,TIC 14111411,b,K2,1,2,Transit,2016,13.733314,0.096,2.6,7.27,2.27,0.07,10.2,502.0,89.24,0.44,,,4484.0,0.62,0.63,-0.225,-0.953,4.65,,3.74,,134.188,59.1527391,22.4724517
4026,K2-233,,,TIC 428820090,b,K2,1,3,Transit,2018,2.4675,0.03308,1.343,11.26,26.26,0.079,273.0,1121.0,89.3,0.13,6.27,K3,5033.0,0.71,0.79,-0.09,-0.523,4.64,0.36,3.17211,9.75,67.5062,230.4799011,-20.2317975
4027,Kepler-1059,,,TIC 121943952,b,Kepler,1,1,Transit,2016,3.76419105,0.044,1.73,3.64,3.86,0.0,174.07,908.0,88.83,0.287,,,4906.0,0.72,0.75,-0.15,-0.52,4.61,5.37,3.72577,,713.167,289.2202147,41.7064385
4028,OGLE-2018-BLG-1269L,,,,b,OGLE,1,1,Microlensing,2020,,4.51,14.1,210.0,0.412,,,,,,,,,,1.11,,,,,,,2510.0,269.693417,-27.6179444
4029,Kepler-26,,,TIC 164833065,b,Kepler,1,4,Transit,2011,12.28,0.08551,2.78,5.12,1.26,0.0,7.6,431.0,89.93,0.475,,M0 V,3914.0,0.51,0.54,-0.13,-1.06,4.68,2.95,5.98262,,335.307,284.9410627,46.5664505
4030,Kepler-270,,,TIC 123417308,c,Kepler,1,2,Transit,2014,25.262887,0.18,1.77,3.78,3.75,0.0,62.24,756.0,88.0,0.1,,,6067.0,1.46,1.17,0.07,0.312,4.2,2.73,0.30014,,948.781,282.2001207,44.4222795
4031,Kepler-244,,,TIC 158426969,b,Kepler,1,3,Transit,2014,4.311792,0.05,2.76,8.05,2.1,0.0,242.47,1038.0,89.08,0.52,,,5554.0,0.8,0.96,0.16,-0.256,4.58,0.5,1.86883,,1036.49,287.242641,42.3014185
4032,Kepler-307,,,TIC 169930145,b,Kepler,1,2,Transit,2013,10.4208,0.0917,2.43,7.44,2.62,0.0,59.7,797.0,88.23,0.7038,,,5367.0,0.81,0.91,0.19,-0.122,4.46,13.5,1.73492,,575.581,297.7950939,40.4176403
4033,Kepler-259,,,TIC 158664318,b,Kepler,1,2,Transit,2014,8.115317,0.079,2.8,8.25,2.07,0.0,113.45,879.0,84.3,0.75,,,5938.0,0.9,0.93,-0.03,-0.153,4.53,0.4,1.98095,,1002.14,288.2119707,46.6150461
4034,Kepler-260,,,TIC 137348863,b,Kepler,1,2,Transit,2014,8.187399,0.075,2.01,4.7,3.18,0.0,132.13,782.0,88.89,0.46,,,5250.0,0.86,0.92,0.03,-0.092,4.49,4.47,2.08567,,627.365,291.9259658,38.0140525
4035,HD 159868,HD 159868,HIP 86375,TIC 248320609,c,Anglo-Australian Telescope,1,2,Radial Velocity,2012,351.0,1.032,14.0,244.09344,0.489,0.184,,,,,20.0,G5 V,5534.0,2.13,1.19,-0.08,0.555,3.92,7.57,0.15582,,55.8503,264.7466665,-43.1462347
4036,HD 197037,HD 197037,HIP 101948,TIC 195382102,b,McDonald Observatory,2,1,Radial Velocity,2012,1035.7,2.07,13.9,251.0,0.514,0.22,,,,,15.5,F7 V,6150.0,1.1,1.11,-0.2,0.239,4.4,1.9,1.03864,,33.1944,309.8869681,42.247593
4037,HD 211970,HD 211970,HIP 110443,TIC 231704229,b,Las Campanas Observatory,1,1,Radial Velocity,2019,25.201,0.143,3.66,13.0,1.46,0.15,,,,,4.02,K7 V,4127.0,0.57,0.61,,-1.065,4.69,,4.2377,,13.1277,335.5661579,-54.5596006
4038,HD 285507,HD 285507,HIP 19207,TIC 389018596,b,Fred Lawrence Whipple Observatory,1,1,Radial Velocity,2013,6.0881,0.06,13.8,311.4734,0.651,0.09,,,,,125.8,K4.5 V,4503.0,0.69,0.82,0.13,-0.719,4.67,0.625,1.89557,,45.0293,61.755663,15.3349441
4039,KMT-2016-BLG-1397L,,,,b,KMTNet,1,1,Microlensing,2018,,5.1,12.7,2200.0,5.9,,,,,,,,,,0.45,,,,,,,6600.0,272.664612,-24.8577385
4040,Kepler-114,,,TIC 27011135,b,Kepler,1,3,Transit,2014,5.188549,0.053,1.26,6.8,18.7,0.0,92.53,586.0,89.39,0.69,,M0 V,4605.0,0.67,0.77,0.229,-0.685,4.65,2.69,3.41328,,259.533,294.121482,48.3497977
4041,Kepler-1574,,,TIC 26583108,b,Kepler,1,1,Transit,2016,6.9424334,0.0743,1.29,2.21,5.66,0.0,289.78,1003.0,87.95,0.343,,,5892.0,1.08,1.06,0.08,0.156,4.4,3.8,0.96902,,1384.16,292.1586689,49.6377914
4042,Kepler-475,,,TIC 121108727,b,Kepler,1,1,Transit,2016,3.10550819,0.0399,2.49,6.76,2.41,0.0,215.46,980.0,84.85,0.8,,,5009.0,0.79,0.86,0.21,-0.464,4.58,2.69,1.81195,,280.069,287.051694,40.2114232
4043,Kepler-474,,,TIC 63210391,b,Kepler,1,1,Transit,2016,5.66067294,0.0606,3.06,9.59,1.84,0.0,671.06,1115.0,86.77,0.663,,,5785.0,1.08,0.99,-0.01,0.417,4.36,6.76,0.35934,,841.496,292.3215174,43.8811723
