,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
1129,Kepler-138,,,TIC 159376971,d,Kepler,1,3,Transit,2014,23.0881,0.12781,1.212,0.64,2.1,0.027,2.32,338.0,88.952,0.767,0.395,M1 V,3841.0,0.44,0.52,-0.28,-1.222,4.89,4.68,9.5,,66.8624,290.3814122,43.2930645
1130,Kepler-337,,,TIC 159226052,b,Kepler,1,2,Transit,2014,3.292781,0.045,1.54,2.99,4.5,0.0,1589.01,1458.0,80.59,0.03,,,5684.0,1.76,1.05,0.11,0.481,4.0,8.2,0.23495,,677.975,290.0605123,47.1639533
1131,Kepler-23,,,TIC 27083727,c,Kepler,1,3,Transit,2011,10.7421,0.099,3.2,858.1,,0.02,257.39,1008.0,89.86,0.0,,,5760.0,1.52,1.11,-0.09,0.362,4.0,6.0,0.42989,,835.756,294.2189131,49.4792536
1132,Kepler-1721,,,TIC 164527535,b,Kepler,1,1,Transit,2021,4.59238005,0.0519,3.119,9.9,1.79,0.0,172.6,924.0,89.93,0.02,,,5351.0,0.8,0.89,-0.04,-0.407,4.58,0.7,3.58883,,641.374,283.5441984,45.2256548
1133,Kepler-79,,,TIC 239306681,d,Kepler,1,4,Transit,2014,52.0902,0.287,7.16,6.0,0.09,0.025,33.87,592.0,89.93,0.056,,,6174.0,1.3,1.17,-0.073,0.342,4.27,3.44,0.741,,1020.72,300.5171067,44.3815508
1134,Kepler-446,,,TIC 123417850,b,Kepler,1,3,Transit,2015,1.565409,0.0182,1.5,2.86,4.66,0.0,16.21,648.0,87.42,0.601,7.0,M4,3359.0,0.24,0.22,-0.3,-2.248,5.03,3.72,25.35714,,96.339,282.2501047,44.921002
1135,Kepler-106,,,TIC 184997417,d,Kepler,1,4,Transit,2014,23.9802,0.1602,0.95,8.1,,0.0,45.36,649.0,85.45,0.45,,,5858.0,1.04,1.0,-0.12,0.083,4.41,4.83,1.38,,444.322,300.864006,44.3375497
1136,Kepler-81,,,TIC 270611154,d,Kepler,1,3,Transit,2014,20.837846,0.128,1.21,1.92,5.96,0.0,7.51,418.0,89.18,0.71,,M0 V,4500.0,0.59,0.65,-0.18,-0.889,4.7,3.63,11.51428,,348.291,293.6369437,42.8248275
1137,Kepler-480,,,TIC 27187218,b,Kepler,1,1,Transit,2016,4.9195838,0.0605,2.78,8.15,2.08,0.0,764.08,1312.0,88.43,0.586,,,6322.0,1.34,1.25,0.11,0.478,4.28,2.34,0.52959,,847.508,294.4639165,49.7650473
1138,Kepler-31,,,TIC 270788519,c,Kepler,1,3,Transit,2011,42.6318,0.26,5.3,1493.7,,0.0,35.25,615.0,89.85,0.855,,,6340.0,1.22,1.21,-0.076,0.301,4.7,0.28,1.64062,,1664.64,294.0230229,45.8530535
1139,Kepler-527,,,TIC 159642269,b,Kepler,1,1,Transit,2016,13.28535633,0.1179,2.84,8.45,2.03,0.0,147.05,1157.0,85.87,0.731,,,6388.0,1.45,1.28,0.03,0.323,4.22,2.4,0.49084,,750.04,290.957913,47.4062673
1140,Kepler-262,,,TIC 122673489,b,Kepler,1,2,Transit,2014,13.060855,0.108,1.36,2.42,5.29,0.0,50.17,734.0,88.16,0.76,,,5841.0,0.88,0.99,-0.338,-0.14,4.54,3.55,1.49784,,613.129,290.7287168,37.2526575
1141,Kepler-1075,,,TIC 158489841,b,Kepler,1,1,Transit,2016,1.52372816,0.0208,1.42,2.6,4.99,0.0,143.97,818.0,73.31,0.84,,,3959.0,0.54,0.56,-0.17,-1.113,4.72,2.95,3.91647,,291.275,287.5011404,47.4691157
1142,Kepler-51,,,TIC 27846348,b,Kepler,1,3,Transit,2012,45.154,0.2514,7.1,2.1,0.03,0.04,10.12,543.0,89.78,0.251,,,6018.0,0.94,1.04,0.05,-0.142,4.51,0.3,2.16,8.22,783.831,296.4797624,49.9376486
1143,Kepler-18,,,TIC 273690178,d,Kepler,1,3,Transit,2011,14.85888,0.1172,6.98,16.4,0.27,0.0,51.92,720.0,88.07,0.767,7.3,,5345.0,1.11,0.97,0.19,-0.031,4.31,10.0,1.01,,433.047,298.0794448,44.746248
1144,Kepler-522,,,TIC 158657354,b,Kepler,1,1,Transit,2016,38.58422849,0.2551,6.91,38.2,0.636,0.0,63.85,761.0,85.76,0.905,,,6392.0,1.98,1.54,0.41,0.655,4.04,1.7,0.32134,,639.239,288.153973,44.0688154
1145,Kepler-436,,,TIC 185408817,c,Kepler,1,2,Transit,2016,16.79713874,0.1158,2.33,6.04,2.62,0.0,14.52,503.0,87.02,0.0491,,,4685.0,0.71,0.75,0.02,-0.731,4.62,4.07,4.5519,,588.867,301.7207775,44.4120856
1146,Kepler-1384,,,TIC 184418214,b,Kepler,1,1,Transit,2016,15.36262753,0.1126,1.94,4.42,3.33,0.0,32.23,608.0,89.54,0.25,,,4919.0,0.74,0.78,-0.06,-0.539,4.6,4.57,2.40021,,618.0,296.2151275,39.5270248
1147,Kepler-288,,,TIC 121785939,d,Kepler,1,3,Transit,2014,56.633742,0.287,2.67,7.61,2.2,0.0,12.66,570.0,89.75,0.41,,,5918.0,1.09,1.03,0.16,0.056,4.35,3.72,1.90042,,1194.15,288.9163997,39.5947523
1148,Kepler-1276,,,TIC 121333541,b,Kepler,1,1,Transit,2016,12.5720095,0.1072,1.19,1.81,5.9,0.0,139.77,886.0,89.27,0.71,,,6188.0,1.21,1.14,-0.02,0.22,4.33,3.09,1.30364,,538.481,287.8570173,40.5471909
1149,Kepler-252,,,TIC 271769940,b,Kepler,1,2,Transit,2014,6.668391,0.058,1.23,2.04,6.02,0.0,39.26,587.0,88.24,0.78,,M0 V,4208.0,0.55,0.61,-0.13,-0.786,4.72,13.9,7.39154,,379.424,295.579329,44.5459052
1150,Kepler-401,,,TIC 267746315,c,Kepler,1,3,Transit,2014,47.318218,0.269,2.15,5.27,2.91,0.0,52.0,598.0,89.69,0.24,,,6117.0,1.33,1.17,0.02,0.566,4.25,3.55,0.33275,,965.56,290.0827494,50.8634361
1151,Kepler-85,,,TIC 159580705,b,Kepler,1,4,Transit,2012,8.306,0.0766,1.97,4.54,3.26,0.0,107.03,809.0,88.14,0.921,,,5499.0,1.24,0.92,0.0,-0.212,4.22,4.37,0.11974,,765.025,290.9734395,45.2902761
1152,Kepler-1280,,,TIC 270616541,b,Kepler,1,1,Transit,2016,66.5579057,0.38,1.87,4.16,3.5,0.0,35.29,757.0,89.69,0.2764,,,6227.0,1.32,1.2,0.04,0.679,4.28,2.82,0.45399,,1486.7,293.5738933,45.3844919
1153,Kepler-392,,,TIC 158796434,b,Kepler,1,2,Transit,2014,5.341853,0.059,1.0,0.972,5.34,0.0,450.65,1125.0,89.65,0.24,,,5938.0,1.13,1.07,-0.436,0.195,4.32,2.97,1.0041,,681.428,288.660826,43.3681938
1154,Kepler-185,,,TIC 123490444,b,Kepler,1,2,Transit,2014,1.6329,0.026,1.17,1.71,5.87,0.0,475.51,1237.0,89.04,0.34,,,5208.0,0.81,0.81,0.16,-0.504,4.54,11.9,2.85831,,466.735,282.4681674,43.8899464
1155,Kepler-755,,,TIC 239227652,c,Kepler,2,2,Transit,2016,2.85313364,0.0367,1.26,2.13,5.85,0.0,302.57,1016.0,86.37,0.82,,,5043.0,0.77,0.82,-0.01,-0.457,4.58,4.9,7.67757,,399.034,296.8609348,41.0973178
1156,Kepler-1457,,,TIC 164646534,b,Kepler,1,1,Transit,2016,51.1110243,0.2668,1.99,4.62,3.22,0.0,23.47,478.0,89.97,0.1627,,,5866.0,1.01,1.01,-0.05,0.215,4.43,3.72,0.85946,,889.885,283.7705481,42.027203
1157,Kepler-30,,,TIC 399794329,b,Kepler,1,3,Transit,2012,29.33434,0.18,3.9,11.3,1.02,0.042,16.38,524.0,90.179,0.38,,,5498.0,0.95,0.99,0.18,-0.237,4.77,2.0,2.0,,914.221,285.2836483,38.9472625
1158,Kepler-106,,,TIC 184997417,e,Kepler,1,4,Transit,2014,43.8445,0.2395,2.56,11.17,3.1,0.0,20.29,531.0,88.27,0.28,1.95,,5858.0,1.04,1.0,-0.12,0.083,4.41,4.83,1.38,,444.322,300.864006,44.3375497
1159,Kepler-1111,,,TIC 271663670,b,Kepler,1,1,Transit,2016,8.79617863,0.0872,2.0,4.66,3.2,0.0,118.52,938.0,89.86,0.0655,,,6077.0,1.15,1.1,0.02,-0.09,4.36,3.16,1.97461,,841.536,295.4634045,45.8127697
1160,Kepler-187,,,TIC 269264648,b,Kepler,1,2,Transit,2014,4.938864,0.059,1.41,2.57,5.04,0.0,902.24,1244.0,84.67,0.15,,,6105.0,1.29,1.11,-0.02,0.493,4.27,3.72,0.4131,,1143.0,299.7964955,44.0892448
1161,Kepler-206,,,TIC 137342279,d,Kepler,1,3,Transit,2014,23.44281,0.163,1.19,1.81,5.9,0.0,44.17,681.0,85.83,0.1,,,5764.0,1.19,1.05,0.021,0.084,4.31,7.0,0.86142,,594.447,291.6346564,41.8338415
1162,Kepler-345,,,TIC 271546191,b,Kepler,1,2,Transit,2014,7.415563,0.066,0.74,0.5,5.2,0.0,35.37,622.0,89.05,0.15,,,4504.0,0.62,0.61,0.191,-0.495,4.68,2.75,7.23834,,260.0,295.2288521,45.9710432
1163,Kepler-87,,,TIC 273592336,c,Kepler,1,2,Transit,2013,191.2318,0.676,6.14,6.4,0.152,0.039,4.66,403.0,89.588,0.579,,,5600.0,1.82,1.1,-0.17,0.326,3.96,7.5,0.05543,,1232.9,297.9168433,46.9651146
1164,Kepler-1289,,,TIC 184428068,b,Kepler,1,1,Transit,2016,7.99019627,0.0785,1.52,2.92,4.57,0.0,223.44,1113.0,89.67,0.1761,,,6080.0,1.17,1.1,0.02,0.16,4.35,2.95,1.90469,,1053.57,296.388767,41.040509
1165,Kepler-353,,,TIC 239229234,b,Kepler,2,2,Transit,2014,5.795278,0.051,0.89,0.64,4.99,0.0,27.19,534.0,87.11,0.27,,,3903.0,0.5,0.55,-0.12,-1.187,4.75,3.39,3.40975,,384.694,296.8565596,41.7580749
1166,Kepler-285,,,TIC 26416742,c,Kepler,1,2,Transit,2014,6.186676,0.064,1.12,1.46,5.71,0.0,137.07,851.0,89.95,0.08,,,5411.0,0.81,0.82,0.16,-0.279,4.58,0.6,1.99799,,824.31,291.3908469,48.0655392
1167,Kepler-191,,,TIC 159647213,c,Kepler,1,3,Transit,2014,17.738506,0.128,1.86,4.12,3.52,0.0,29.74,596.0,88.16,0.14,,,5282.0,0.79,0.81,0.13,-0.414,4.59,0.9,1.08804,,594.464,291.1833211,45.3230937
1168,Kepler-366,,,TIC 27914560,c,Kepler,1,2,Transit,2014,12.51616,0.11,1.79,3.86,3.7,0.0,314.93,848.0,89.93,0.2,,,6209.0,1.05,1.06,0.01,0.573,4.45,0.3,0.9178,,1856.28,296.8520316,49.0844359
1169,Kepler-367,,,TIC 28159518,c,Kepler,1,2,Transit,2014,53.578637,0.253,1.2,1.87,5.95,0.0,3.76,357.0,89.16,0.75,,,4710.0,0.69,0.68,0.197,-0.617,4.63,2.29,3.04327,,188.027,297.292558,49.9817499
1170,Kepler-1419,,,TIC 137548281,b,Kepler,1,1,Transit,2016,42.5215895,0.2391,2.86,8.55,2.01,0.0,21.24,510.0,89.44,0.1267,,,5796.0,1.01,1.01,0.04,0.042,4.43,4.37,1.38123,,1498.58,292.2545917,37.971376
1171,Kepler-1422,,,TIC 27009720,b,Kepler,1,1,Transit,2016,18.6051942,0.1499,2.02,4.74,3.16,0.0,156.9,833.0,89.75,0.093,,,6194.0,1.23,1.15,0.0,0.447,4.32,3.02,0.43843,,2465.84,293.8902214,48.3360926
1172,Kepler-825,,,TIC 378086008,c,Kepler,1,2,Transit,2016,8.1818246,0.0759,1.84,4.04,3.56,0.0,261.63,981.0,88.11,0.787,,,5976.0,1.08,1.03,-0.08,0.12,4.39,3.55,4.81885,,807.85,294.769825,39.3984081
1173,Kepler-298,,,TIC 48217868,c,Kepler,1,3,Transit,2014,22.92881,0.136,1.93,4.38,3.35,0.0,8.7,416.0,89.15,0.59,,,4465.0,0.58,0.66,-0.21,-0.733,4.71,2.4,6.34932,,518.204,283.0398448,48.8253303
1174,Kepler-1307,,,TIC 63453366,b,Kepler,1,1,Transit,2016,18.01621096,0.1369,2.47,6.66,2.43,0.0,41.19,768.0,89.96,0.023,,,5884.0,1.08,1.06,0.06,-0.205,4.39,4.07,2.49234,,1014.62,292.8698348,46.7418679
1175,Kepler-535,,,TIC 351192037,b,Kepler,1,1,Transit,2016,4.90332155,0.0594,2.36,6.17,2.58,0.0,601.89,1247.0,89.93,0.72,,,6123.0,1.27,1.18,0.13,0.341,4.3,3.24,0.61988,,685.599,296.5666587,49.6961742
1176,HD 156668,HD 156668,HIP 84607,TIC 257715493,c,Multiple Observatories,1,2,Radial Velocity,2021,811.3,1.57,6.17,31.4968,0.737,0.089,,,,,2.56,K2,4903.69,0.77,0.79,0.049,-0.537,4.55,8.6,2.53285,,24.3323,259.4183491,29.228161
1177,HD 81040,HD 81040,HIP 46076,TIC 414965996,b,Multiple Observatories,1,1,Radial Velocity,2005,1001.70001,1.94,12.6,2301.07767,6.32,0.53,,,73.0,,168.0,G2/G3,5755.0,0.91,1.05,-0.03,-0.077,4.54,0.73,1.88323,15.98,34.4341,140.9455027,20.3646078
1178,Kepler-136,,,TIC 272375343,b,Kepler,2,2,Transit,2014,11.5789,0.106,2.05,19.8,12.6,0.0,257.98,951.0,89.33,0.39,,,6165.0,1.35,1.2,0.0,0.467,4.24,2.75,0.50562,,420.818,296.4673039,42.5987984
1179,CoRoT-35,,,TIC 161062394,b,CoRoT,1,1,Transit,2022,3.22748,0.0429,18.831,349.61125,0.29,0.0,,1747.0,84.1,0.58,150.0,F6 V,6390.0,1.65,1.01,-0.5,0.362,4.01,6.1,0.44716,,1123.21,289.3143526,-2.7747085
1180,Kepler-1676,,,TIC 158422963,b,Kepler,1,1,Transit,2020,29.9221,0.1954,3.377,11.3,1.61,0.0,33.45,782.0,89.72,0.0103,,,5878.3,1.06,1.07,0.135,0.084,4.47,0.3,12.66372,,,287.2368778,43.5671665
1181,Kepler-328,,,TIC 184164097,b,Kepler,1,2,Transit,2013,34.921,0.2199,2.3,28.5,12.9,0.0,57.08,602.0,89.96,0.026,,,6064.0,1.06,1.15,0.08,0.44,4.44,2.57,0.02146,,2213.19,295.8092756,40.0084866
1182,Kepler-384,,,TIC 158114249,c,Kepler,1,2,Transit,2014,45.348269,0.236,1.13,1.51,5.75,0.0,40.1,531.0,88.78,0.1,,,5577.0,0.88,0.97,-0.459,0.396,4.47,1.5,3.69419,,895.678,286.0261113,44.7828571
1183,Kepler-1194,,,TIC 137317096,b,Kepler,1,1,Transit,2016,16.22371307,0.1212,1.51,2.89,4.61,0.0,49.35,676.0,89.48,0.0577,,,5590.0,0.92,0.94,0.0,-0.127,4.49,4.79,6.60457,,757.382,291.6994841,38.1452065
1184,Kepler-1591,,,TIC 272491028,b,Kepler,1,1,Transit,2016,8.18504949,0.0794,1.27,2.15,5.77,0.0,439.43,892.0,86.83,0.1372,,,6082.0,1.16,1.1,0.01,0.434,4.35,3.24,0.92539,,1419.58,296.5166659,44.6086233
1185,Kepler-400,,,TIC 122707140,b,Kepler,1,2,Transit,2014,9.024389,0.087,1.65,3.36,4.11,0.0,183.39,939.0,89.97,0.01,,,5886.0,1.15,1.08,0.084,0.152,4.35,3.63,2.38563,,845.97,290.9444679,40.4800528
1186,Kepler-1211,,,TIC 120578889,b,Kepler,1,1,Transit,2016,11.01816836,0.0985,2.55,7.04,2.33,0.0,139.85,840.0,84.66,0.883,,,5705.0,0.94,0.96,-0.08,0.134,4.48,4.17,0.13325,,1826.53,285.7207618,40.8569116
1187,Kepler-206,,,TIC 137342279,b,Kepler,1,3,Transit,2014,7.781987,0.078,1.2,1.87,5.95,0.0,192.27,983.0,84.82,0.33,,,5764.0,1.19,1.05,0.021,0.084,4.31,7.0,0.86142,,594.447,291.6346564,41.8338415
1188,Kepler-84,,,TIC 170646917,e,Kepler,1,5,Transit,2014,27.434389,0.181,2.6,7.27,2.27,0.0,48.29,672.0,88.99,0.09,,,6031.0,1.17,1.06,-0.07,0.212,4.32,3.98,1.83938,,1023.9,298.2520208,40.4960842
1189,Kepler-1135,,,TIC 158114283,b,Kepler,1,1,Transit,2016,76.957857,0.3436,1.85,4.08,3.54,0.0,25.76,451.0,89.25,0.4724,,,5656.0,0.94,0.96,0.02,0.437,4.47,4.47,0.57519,,1314.64,286.0029904,44.7565551
1190,Kepler-1216,,,TIC 158486842,b,Kepler,1,1,Transit,2016,4.37034536,0.0519,1.39,2.51,5.14,0.0,415.55,1191.0,89.55,0.093,,,5743.0,0.98,0.99,0.03,0.073,4.46,4.07,1.64385,,1258.36,287.4052661,45.917979
1191,Kepler-1217,,,TIC 299160628,b,Kepler,1,1,Transit,2016,2.03232507,0.0326,1.99,4.62,3.22,0.0,1302.95,1542.0,89.19,0.2099,,,5905.0,1.08,1.06,0.07,0.085,4.4,3.8,3.35123,,1347.71,289.1866841,50.9375614
1192,Kepler-1336,,,TIC 272278272,b,Kepler,1,2,Transit,2016,23.198681,0.1595,1.98,4.58,3.24,0.0,103.72,793.0,89.0,0.03,,,5512.0,1.3,0.94,0.05,0.421,4.18,12.3,0.2217,,1126.64,296.2776587,46.8998006
1193,Kepler-1680,,,TIC 169079027,b,Kepler,1,1,Transit,2020,8.77424,0.0784,1.36,2.42,5.29,0.0,83.63,771.0,86.06,0.0249,,,5021.0,0.72,0.83,0.2,-0.524,4.64,13.8,3.10778,,310.315,297.0746571,39.9338893
1194,BD+45 564,,,TIC 292607437,b,Haute-Provence Observatory,1,1,Radial Velocity,2021,307.88,0.83,13.6,432.24663,0.944,0.12,,,2.579,,47.68,K1,5004.0,0.81,0.81,-0.09,-0.399,4.22,,2.22951,,53.622,32.9470485,45.9242187
1195,Kepler-250,,,TIC 159098652,b,Kepler,1,3,Transit,2014,4.148141,0.048,1.13,1.51,5.75,0.0,148.1,938.0,89.58,0.75,,,5160.0,0.81,0.83,0.02,-0.457,4.57,13.2,2.20456,,760.585,289.5947633,44.1418114
1196,Kepler-1151,,,TIC 63204022,b,Kepler,1,1,Transit,2016,65.6478424,0.3197,2.22,5.56,2.79,0.0,4.86,485.0,88.43,0.1605,,,5470.0,0.85,0.88,-0.11,-0.342,4.53,4.37,6.66383,,682.436,292.2477819,47.8784257
1197,Kepler-1462,,,TIC 272376022,b,Kepler,1,1,Transit,2016,65.6488341,0.3094,3.82,14.0,1.38,0.0,4.7,390.0,89.97,0.038,,,5756.0,1.0,1.0,0.06,-0.314,4.45,4.07,1.49623,,1017.82,296.397542,42.3969273
1198,Kepler-1466,,,TIC 159178000,b,Kepler,1,1,Transit,2016,31.1750448,0.1942,1.55,3.02,4.46,0.0,21.88,585.0,89.99,0.016,,,5884.0,1.02,1.01,-0.07,-0.023,4.43,3.89,3.74352,,631.949,289.8312418,44.6098415
1199,Kepler-1470,,,TIC 121733900,b,Kepler,1,1,Transit,2016,16.2950903,0.116,1.07,1.24,5.56,0.0,23.92,574.0,89.05,0.2499,,,4961.0,0.76,0.8,-0.01,-0.486,4.59,4.57,1.9121,,590.601,288.6949475,39.8830802
1200,Kepler-641,,,TIC 63006978,b,Kepler,1,1,Transit,2016,9.48961571,0.0879,1.85,4.08,3.54,0.0,311.79,926.0,86.44,0.4764,,,5713.0,1.13,1.02,0.15,0.39,4.33,7.08,1.31634,,969.918,291.8235292,42.5161945
1201,Kepler-1604,,,TIC 351911398,b,Kepler,1,1,Transit,2016,0.68368426,0.0089,1.41,2.57,5.04,0.0,3567.57,2023.0,40.98,0.6331,,,4976.0,0.76,0.81,0.02,-0.527,4.59,4.17,3.06854,,541.189,285.4106549,44.4122318
1202,Kepler-1549,,,TIC 120692095,b,Kepler,1,1,Transit,2016,214.886545,0.6687,2.57,7.13,2.31,0.0,1.18,286.0,89.99,0.0171,,,5324.0,0.84,0.88,0.02,-0.273,4.54,4.79,1.90642,,803.052,286.0524399,39.0960281
1203,Kepler-1594,,,TIC 270695341,b,Kepler,1,1,Transit,2016,2.71603809,0.0396,1.06,1.2,5.54,0.0,672.41,1360.0,87.67,0.0906,,,5946.0,1.08,1.06,0.03,-0.0,4.39,3.89,3.63808,,976.868,293.6230451,47.9619127
1204,Kepler-1475,,,TIC 271970692,b,Kepler,1,1,Transit,2016,82.177374,0.373,2.92,8.85,1.95,0.0,13.76,441.0,89.99,0.237,,,6214.0,1.28,1.18,0.03,0.254,4.29,2.82,0.8825,,1568.38,295.9482766,44.753096
1205,K2-35,,,TIC 363478257,b,K2,1,2,Transit,2016,2.399964,0.031,1.32,2.3,5.5,0.13,211.0,979.0,88.98,0.56,,K4 V,4402.71,0.62,0.7,0.04,-0.803,4.7,,2.02725,,252.596,170.1031027,1.2858679
1206,Kepler-154,,,TIC 416282268,f,Kepler,1,5,Transit,2016,9.91935684,0.0871,1.5,2.86,4.66,0.0,139.88,838.0,89.47,0.163,,,5769.0,0.98,0.98,-0.04,0.033,4.45,4.47,1.03249,,915.212,289.7805393,49.8965624
1207,Kepler-239,,,TIC 138641300,b,Kepler,1,2,Transit,2014,11.763051,0.095,2.33,6.04,2.62,0.0,34.75,616.0,89.91,0.17,,,4914.0,0.76,0.76,0.09,-0.475,4.58,3.31,4.37951,,648.109,294.2020505,40.6633313
1208,Kepler-184,,,TIC 63119782,b,Kepler,1,3,Transit,2014,10.687576,0.092,2.36,6.17,2.58,0.0,70.36,780.0,86.89,0.2,,,5788.0,0.87,0.97,-0.196,-0.225,4.51,1.7,2.7003,,610.326,291.9518784,43.0746172
1209,Kepler-713,,,TIC 271762145,b,Kepler,1,1,Transit,2016,7.411141,0.0748,2.48,6.71,2.42,0.0,228.28,905.0,87.54,0.0062,,,5785.0,0.99,0.98,-0.03,0.085,4.44,3.8,4.36629,,1089.87,295.6513819,43.0297781
1210,Kepler-1418,,,TIC 258202336,b,Kepler,1,1,Transit,2016,22.4764425,0.131,1.66,3.39,4.07,0.0,7.29,419.0,89.8,0.176,,,4770.0,0.72,0.77,0.0,-0.616,4.61,3.63,3.48546,,499.0,282.9975322,41.67859
1211,Kepler-121,,,TIC 120765800,b,Kepler,1,2,Transit,2014,3.177422,0.039,2.34,6.08,2.61,0.0,220.49,997.0,85.79,0.11,,,5311.0,0.7,0.86,-0.08,-0.474,4.65,0.5,9.36513,,510.523,286.1621273,39.6780204
1212,Kepler-248,,,TIC 275493574,c,Kepler,1,2,Transit,2014,16.239494,0.123,4.07,15.6,1.27,0.0,22.46,598.0,89.92,0.08,,,5190.0,0.83,0.9,0.2,-0.418,4.57,2.34,2.35482,,738.792,293.0613138,43.5813577
1213,Kepler-1504,,,TIC 416281986,b,Kepler,1,1,Transit,2016,82.304003,0.3704,2.13,5.18,2.95,0.0,25.17,485.0,87.87,0.0358,,,5393.0,0.81,0.85,-0.17,0.468,4.55,4.47,0.28092,,2435.94,289.7119947,50.1282265
1214,Kepler-635,,,TIC 394174221,b,Kepler,1,1,Transit,2016,23.44971004,0.1764,2.64,7.46,2.23,0.0,193.93,802.0,89.46,0.8,,,6174.0,1.51,1.33,0.41,0.735,4.2,2.34,0.23078,,1141.08,289.7732613,40.8007019
1215,Kepler-386,,,TIC 267669725,b,Kepler,1,2,Transit,2014,12.31043,0.096,1.39,2.51,5.14,0.0,43.26,651.0,87.21,0.8,,,5178.0,0.77,0.82,0.16,-0.402,4.56,4.68,2.11687,,882.462,289.8589165,48.6938077
1216,Kepler-1245,,,TIC 159449041,c,Kepler,1,2,Transit,2016,2.93658468,0.0372,1.44,2.67,4.91,0.0,328.98,1190.0,82.32,0.0999,,,5306.0,0.83,0.86,-0.01,-0.411,4.55,4.57,4.05093,,805.936,290.7443078,43.260753
1217,Kepler-953,,,TIC 158933249,c,Kepler,1,2,Transit,2016,9.10967112,0.0862,1.19,1.81,5.9,0.0,121.04,873.0,85.02,0.3443,,,5416.0,0.99,0.95,0.26,-0.119,4.42,8.71,0.44401,,258.893,288.9716297,44.6246451
1218,K2-170,,,TIC 188509935,c,K2,1,2,Transit,2018,12.400047,,1.802,3.9,3.66,,,,88.668,0.21,,,5748.0,0.98,0.96,-0.11,0.072,4.34,,1.26996,,392.872,335.4506923,-14.5933554
1219,Kepler-20,,,TIC 158554588,g,Multiple Observatories,2,6,Radial Velocity,2016,34.94,0.2055,4.71,19.96,1.05,0.15,,524.0,,,4.1,,5495.0,0.96,0.95,0.07,-0.189,4.45,7.6,1.81167,,282.563,287.6979913,42.3385782
1220,Kepler-390,,,TIC 137340986,c,Kepler,2,2,Transit,2014,13.060022,0.101,0.79,0.418,4.66,0.0,41.35,630.0,89.08,0.48,,,5166.0,0.78,0.86,-0.044,-0.352,4.57,3.24,3.5831,,435.277,291.6288086,41.2088351
1221,Kepler-599,,,TIC 120686620,b,Kepler,1,1,Transit,2016,15.65562652,0.1128,2.84,8.45,2.03,0.0,24.47,623.0,89.42,0.78,,,5127.0,0.79,0.83,-0.02,-0.522,4.57,5.01,2.0611,,558.517,285.9115968,41.0695091
1222,Kepler-151,,,TIC 137410997,b,Kepler,1,2,Transit,2014,15.228958,0.116,3.06,9.59,1.84,0.0,40.73,639.0,88.54,0.79,,,5460.0,0.83,0.87,0.124,-0.334,4.55,4.6,3.74862,,649.919,292.1627933,41.0231947
1223,Kepler-143,,,TIC 28364164,b,Kepler,1,2,Transit,2014,16.007583,0.127,2.41,6.39,2.51,0.0,118.33,838.0,88.09,0.79,,,5848.0,1.36,1.06,-0.073,0.294,4.2,5.62,89.87267,,809.467,298.0676519,49.412541
1224,Kepler-200,,,TIC 120252452,b,Kepler,1,2,Transit,2014,8.594805,0.08,2.13,5.18,2.95,0.0,159.07,854.0,87.84,0.93,,,5678.0,0.94,0.98,-0.006,0.008,4.45,6.3,0.13059,,665.912,284.4099503,41.2374928
1225,Kepler-582,,,TIC 169556162,b,Kepler,1,1,Transit,2016,18.49235668,0.1254,3.68,13.1,1.44,0.0,25.06,603.0,89.95,0.0294,,,5564.0,0.91,0.93,0.01,-0.414,4.49,4.47,3.67643,,613.179,297.503718,41.0570326
1226,Kepler-342,,,TIC 63293562,e,Kepler,1,4,Transit,2016,1.64422461,0.0293,0.88,0.615,4.96,0.0,3111.32,1897.0,58.94,0.3188,,,6366.0,1.34,1.26,0.12,0.453,4.28,2.04,0.49444,,781.611,292.6780488,46.7266813
1227,HD 3167,HD 3167,HIP 2736,TIC 318707987,c,K2,1,3,Transit,2016,29.875221,0.1795,2.3,9.8,2.21,0.05,16.6,548.0,90.0,0.3,2.23,K0 V,5438.0,0.83,0.88,-0.1,-0.262,4.6,5.0,1.902,23.52,47.2899,8.7401487,4.3807215
1228,Kepler-1842,,,TIC 158216580,b,Kepler,1,1,Transit,2021,14.02639961,0.116,2.354,6.14,2.59,0.0,108.07,822.0,88.86,0.2123,,,5970.0,1.13,1.06,0.06,-0.026,4.36,7.0,8.12745,,923.551,286.2516039,42.3784353
1229,Kepler-1596,,,TIC 350813882,b,Kepler,1,1,Transit,2016,66.373379,0.3237,1.9,4.27,3.42,0.0,33.38,471.0,89.98,0.0011,,,5706.0,0.92,0.95,-0.11,0.431,4.49,3.89,0.42377,,2146.23,285.5575066,49.3300866
1230,Kepler-235,,,TIC 120765183,b,Kepler,1,4,Transit,2014,3.340222,0.037,2.23,5.6,2.77,0.0,44.0,731.0,89.47,0.37,,M0 V,4255.0,0.55,0.58,-0.51,-1.102,4.73,6.0,4.14,39.49,428.018,286.0790779,39.278237
