id,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
2804,Kepler-141,,,TIC 273681580,c,Kepler,1,2,Transit,2014,7.010606,0.067,1.41,2.57,5.04,0.0,77.41,738.0,87.03,0.31,,,4910.0,0.79,1.0,0.264,-0.446,4.57,12.39,1.81992,,301.183,297.9707271,47.7316041
2807,Kepler-142,,,TIC 27394293,c,Kepler,1,3,Transit,2014,4.761702,0.057,2.86,8.55,2.01,0.0,399.44,1201.0,87.89,0.37,,,5790.0,1.27,0.99,0.08,0.107,4.26,8.2,1.17774,,548.686,295.1190067,48.4813635
2810,Kepler-120,,,TIC 121458707,b,Kepler,1,2,Transit,2014,6.312501,0.055,2.15,8.5,4.7,0.0,42.69,575.0,89.91,0.79,,M0 V,4096.0,0.53,0.65,-0.12,-0.677,4.73,3.63,2.77559,,388.63,287.8915707,39.3390979
2818,Kepler-124,,,TIC 399860218,b,Kepler,1,3,Transit,2014,3.410493,0.039,0.73,0.315,4.45,0.0,198.84,892.0,70.06,0.14,,,4984.0,0.64,0.84,-0.46,-0.467,4.67,1.82,2.23727,,420.046,286.7527322,49.0648788
2820,Kepler-1365,,,TIC 63122176,c,Kepler,1,2,Transit,2016,4.77468005,0.0545,0.8,0.437,4.69,0.0,864.04,1137.0,89.82,0.03,,,5770.0,1.05,1.0,0.03,0.425,4.39,6.03,0.28483,,840.128,292.1996573,42.0459944
2838,Kepler-1398,,,TIC 27239111,b,Kepler,1,2,Transit,2016,2.78815679,0.0392,0.9,0.666,5.02,0.0,1249.49,1510.0,89.47,0.058,,,6126.0,1.18,1.13,0.01,0.312,4.34,3.09,0.6169,,852.204,294.8661073,48.6389923
2839,Kepler-140,,,TIC 158487888,b,Kepler,1,2,Transit,2014,3.25427,0.045,1.61,3.22,4.24,0.0,848.7,1301.0,87.84,0.05,,,6077.0,1.29,1.15,-0.039,0.251,4.27,0.88,0.93176,,583.859,287.3694056,46.7681473
2856,Kepler-107,,,TIC 27988327,b,Kepler,1,4,Transit,2014,3.1800218,0.04544,1.536,3.51,5.3,0.0,1175.38,1593.0,89.05,0.11,1.32,,5854.0,1.45,1.24,0.321,0.364,4.21,4.29,0.574,20.3,525.997,297.028162,48.2086019
2870,Kepler-125,,,TIC 273873718,c,Kepler,1,2,Transit,2014,5.774464,0.051,0.74,0.33,4.47,0.0,16.81,529.0,88.94,0.12,,M1 V,3810.0,0.51,0.54,-0.14,-1.328,4.74,13.5,4.68232,,183.365,298.2581101,47.6050031
2871,Kepler-1254,,,TIC 48506710,d,Kepler,1,3,Transit,2016,5.72717226,0.0575,1.31,2.27,5.55,0.0,71.31,794.0,88.57,0.2816,,,4985.0,0.75,0.78,-0.1,-0.572,4.59,5.62,3.31866,,622.818,285.1733174,48.7700099
